tbnId,OccurrenceUUID,最後修改時間,自訂調查紀錄編號,建議物種,物種UUID,物種學名,物種中文名,類群當地原生性,敏感資料座標精確度,緯度,經度,行政區,觀測日期,觀測方式,鑑定狀態,類群,對外釋出授權,姓名標示,敏感資料標示,所屬資料集,資料集網址,界,綱,科
5710789,62a1fad0-5e84-479e-8bab-9b131efb1118,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:4565158,"Syntomoides imaon",7e3c9f14-a03a-4d82-a65d-6286091804e7,"Syntomoides imaon",伊貝鹿蛾,野⽣,,23.826964,120.802389,南投縣集集鎮,2018-10-23,Occurrence,已鑑定,蛾類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Erebidae
5710768,825951c5-6793-4aa8-8d2a-32f221e1eed3,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:4565137,"Geisha mariginellus",4827564f-85e6-4479-a7c3-70c01b3300f8,"Geisha mariginellus",小青蛾蠟蟬,野⽣,,23.827727,120.802142,南投縣集集鎮,2018-10-23,Occurrence,已鑑定,其他昆蟲,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Flatidae
5707550,157310cc-59f5-4124-9c74-e39cddd7c560,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635576,"Copera marginipes 脛蹼琵蟌",1e67c223-1876-43fc-adc5-f5773cdc847a,"Copera marginipes",脛蹼琵蟌,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Platycnemididae
5707551,2eef39fc-5859-4fd7-9d0f-7aa1c3f334ce,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635577,"Copera ciliata 環紋琵蟌",09d65873-e37e-4e45-98bc-2f9a617ffc12,"Copera ciliata",環紋琵蟌,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Platycnemididae
5707552,c46b6a70-da13-4548-9f4d-1bcb05247b89,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635578,"Paracercion calamorum dyeri 葦笛細蟌",9f879755-2385-48c5-b5cc-38e476c87123;dc713467-7362-4f82-9b73-5efb5b934fca,"Paracercion calamorum dyeri;Paracercion calamorum",葦笛細蟌;葦笛細蟌,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類;蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia;Animalia,Insecta;Insecta,Coenagrionidae;Coenagrionidae
5707553,9f73b408-3e48-4dcd-a671-5734cf95c846,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635579,"Neurothemis ramburii 善變蜻蜓",184e130f-babe-4d9f-8698-ae23d46056dd,"Neurothemis taiwanensis",善變蜻蜓,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Libellulidae
5707554,dd24cf01-10bf-4346-ab69-97232e31f693,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635580,"Ictinogomphus rapax 粗鉤春蜓",e5c6da69-37c8-431e-8d45-6affff161084,"Ictinogomphus rapax",粗鉤春蜓,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Gomphidae
5707555,cd3ec0aa-5741-4e07-939b-323671728bac,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635581,"Pseudothemis zonata 黃紉蜻蜓",cfca8a7e-51b2-41a4-b071-6a59374ffa15,"Pseudothemis zonata",黃紉蜻蜓,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Libellulidae
5707556,a949f4cf-b332-4469-8c70-ce18768861ce,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635582,"Orthetrum pruinosum neglectum 霜白蜻蜓中印亞種",d78768be-9da1-4a87-858b-5906e03b19b5;d505ac66-f898-4dca-af0e-d31747e9b216;67449ef9-01f6-46d8-84aa-753183d327ef,"Orthetrum pruinosum;Orthetrum pruinosum neglectum;Orthetrum pruinosum clelia",霜白蜻蜓;霜白蜻蜓(中印亞種);霜白蜻蜓(西里亞種),野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,蜻蛉類;蜻蛉類;蜻蛉類,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia;Animalia;Animalia,Insecta;Insecta;Insecta,Libellulidae;Libellulidae;Libellulidae
5707557,0d3880b2-7423-44fb-983d-97a7cb6ab4df,2019-02-16T06:05:27Z,tw:org:tbn:ra:occurrence:635583,"Chremistica ochracea 薄翅蟬",8f264123-a711-4b06-93aa-536ef775eee7,"Chremistica ochracea",薄翅蟬,野⽣,,23.83,120.8,南投縣集集鎮,2017-06-09,Occurrence,已鑑定,其他昆蟲,,,,特有生物研究保育中心生態教育園區生物多樣性觀測紀錄,https://www.tbn.org.tw/dataset/8188021,Animalia,Insecta,Cicadidae
